구간 / 차종,평일-1종,평일-2종,평일-3종,평일-4종,평일-5종,주말-1종,주말-2종,주말-3종,주말-4종,주말-5종
 서울 ~ 신갈JC ,181587,6025,19206,4662,2643,179502,2862,16699,2231,1092
 신갈JC ~ 수원신갈 ,209401,7892,18725,6779,4754,206806,3407,14166,2949,1727
 수원신갈 ~ 기흥 ,185465,5997,16175,6234,4255,187806,2485,12563,2615,1523
 기흥 ~ 기흥동탄 ,158334,5258,15223,5820,3948,164022,2168,12103,2462,1386
 기흥동탄 ~ 동탄JC ,147516,5378,13643,6142,4408,156470,2217,11469,2594,1650
 동탄JC ~ 오산 ,168505,6000,13847,6652,4737,178328,2434,11640,2783,1686
 오산 ~ 안성JC ,167693,4965,13258,7013,4998,178120,1863,11226,2919,1815
 안성JC ~ 안성 ,155513,4728,13612,8258,7462,169330,1660,11687,3059,2508
 안성 ~ 북천안 ,137098,4102,12597,8076,7318,154277,1414,10962,2984,2448
 북천안 ~ 천안 ,141488,4292,13261,9005,8511,156925,1499,11189,3235,2749
 천안 ~ 천안JC ,119608,4012,12098,9129,8953,135720,1344,10185,3191,2872
 천안JC ~ 목천 ,84915,2940,7818,7114,8232,89074,901,6076,2307,2451
 목천 ~ 옥산JC ,82405,2776,7497,6898,7996,87780,889,5996,2220,2358
 옥산JC ~ 옥산 ,77617,2615,7010,6563,7436,84163,848,5661,2133,2202
 옥산 ~ 청주 ,75979,2559,6997,6562,7435,83198,834,5656,2133,2202
 청주 ~ 남이JC ,68954,2348,6183,6478,7414,77013,766,4773,2115,2207
 남이JC ~ 청주JC ,121481,4555,10043,11464,11848,138929,1549,6762,3917,3678
 청주JC ~ 남청주 ,91284,3489,6980,6685,5977,104593,1259,5188,2419,2073
 남청주 ~ 신탄진 ,95571,3539,6930,5953,5008,108135,1366,5341,2262,1841
 신탄진 ~ 회덕JC ,86886,3074,6500,5221,4813,98709,1229,5184,2015,1716
 회덕JC ~ 대전 ,78660,2185,4567,3665,4442,88069,832,3635,1339,1562
 대전 ~ 비룡JC ,68847,1989,3864,3833,4609,81252,735,2944,1386,1617
 비룡JC ~ 옥천 ,44055,1263,2219,3184,3993,52094,441,1279,1125,1361
